community 0
order,index,name,u_value,percetage(%)
1,115,116,0.0270596416298,2.70596416298
2,101,102,0.0270559425347,2.70559425347
3,121,122,0.0268273393067,2.68273393067
4,118,119,0.0266731060747,2.66731060747
5,86,87,0.0261522016958,2.61522016958
6,103,104,0.0257429166535,2.57429166535
7,89,90,0.0257408439546,2.57408439546
8,112,113,0.0256496571177,2.56496571177
9,122,123,0.0254919159821,2.54919159821
10,60,61,0.0254199498863,2.54199498863
11,111,112,0.0252142637038,2.52142637038
12,106,107,0.0251740295714,2.51740295714
13,108,109,0.025113600341,2.5113600341
14,104,105,0.025065956119,2.5065956119
15,62,63,0.0249767399624,2.49767399624
16,126,127,0.0249707537604,2.49707537604
17,28,29,0.0249158166663,2.49158166663
18,49,50,0.0248952299543,2.48952299543
19,117,118,0.0248579811866,2.48579811866
20,98,99,0.0246061466161,2.46061466161
21,124,125,0.0245669236742,2.45669236742
22,26,27,0.0239568039486,2.39568039486
23,116,117,0.0239043242661,2.39043242661
24,123,124,0.0236590392968,2.36590392968
25,90,91,0.0235065745658,2.35065745658
26,74,75,0.0227122316786,2.27122316786
27,96,97,0.0209976745235,2.09976745235
28,120,121,0.0200558688977,2.00558688977
29,30,31,0.0182563206972,1.82563206972
30,119,120,0.0158223296884,1.58223296884
31,110,111,0.0136970468678,1.36970468678
32,84,85,0.0134053443447,1.34053443447
33,46,47,0.0131080391253,1.31080391253
34,91,92,0.0129257331841,1.29257331841
35,36,37,0.0125860900181,1.25860900181
36,107,108,0.00893860522848,0.893860522848
37,97,98,0.00825388276219,0.825388276219
38,54,55,0.00608447979121,0.608447979121
39,53,54,0.00602017416426,0.602017416426
40,8,9,0.00587867725955,0.587867725955
41,11,12,0.00551132914794,0.551132914794
42,34,35,0.0052252021727,0.52252021727
43,82,83,0.00517835727712,0.517835727712
44,113,114,0.00512397436749,0.512397436749
45,7,8,0.00459948836116,0.459948836116
46,37,38,0.00445340724106,0.445340724106
47,88,89,0.00436259611763,0.436259611763
48,105,106,0.00414223043926,0.414223043926
49,77,78,0.00412002328117,0.412002328117
50,33,34,0.00387369647573,0.387369647573
51,85,86,0.00382917208388,0.382917208388
52,42,43,0.00376615561202,0.376615561202
53,6,7,0.00373499143104,0.373499143104
54,14,15,0.00370464459249,0.370464459249
55,80,81,0.00362036929735,0.362036929735
56,109,110,0.00349848249454,0.349848249454
57,94,95,0.00348510298391,0.348510298391
58,102,103,0.00338284787975,0.338284787975
59,15,16,0.00331278211109,0.331278211109
60,95,96,0.00330101180732,0.330101180732
61,35,36,0.00323267354972,0.323267354972
